pred,lat,lon
0.11186687,-13.07,-70.72
0.12494036,-13.07,-70.68827586206896
0.12953974,-13.07,-70.65655172413793
0.1883511,-13.07,-70.62482758620689
0.16065948,-13.07,-70.59310344827585
0.16505207,-13.07,-70.56137931034483
0.72305363,-13.07,-70.5296551724138
0.27692896,-13.07,-70.49793103448276
0.28094864,-13.07,-70.46620689655172
0.2381715,-13.07,-70.43448275862069
0.38029763,-13.07,-70.40275862068965
0.14867695,-13.07,-70.37103448275862
0.13037644,-13.07,-70.33931034482758
0.18891132,-13.07,-70.30758620689654
0.120611265,-13.07,-70.27586206896551
0.11752653,-13.07,-70.24413793103449
0.7931519,-13.07,-70.21241379310345
0.20104063,-13.07,-70.18068965517242
0.12994584,-13.07,-70.14896551724138
0.11844438,-13.07,-70.11724137931034
0.1260145,-13.07,-70.0855172413793
0.112417646,-13.07,-70.05379310344827
0.11586624,-13.07,-70.02206896551724
0.11182173,-13.07,-69.9903448275862
0.11544875,-13.07,-69.95862068965516
0.11889907,-13.07,-69.92689655172414
0.11783954,-13.07,-69.8951724137931
0.13552557,-13.07,-69.86344827586207
0.11254109,-13.07,-69.83172413793103
0.1216148,-13.07,-69.8
0.11633294,-13.058275862068966,-70.72
0.11814141,-13.058275862068966,-70.68827586206896
0.124312624,-13.058275862068966,-70.65655172413793
0.120364174,-13.058275862068966,-70.62482758620689
0.9360846,-13.058275862068966,-70.59310344827585
0.12230851,-13.058275862068966,-70.56137931034483
0.17823328,-13.058275862068966,-70.5296551724138
0.8464338,-13.058275862068966,-70.49793103448276
0.91610545,-13.058275862068966,-70.46620689655172
0.91876143,-13.058275862068966,-70.43448275862069
0.19171782,-13.058275862068966,-70.40275862068965
0.24401456,-13.058275862068966,-70.37103448275862
0.15088819,-13.058275862068966,-70.30758620689654
0.11772192,-13.058275862068966,-70.27586206896551
0.121382356,-13.058275862068966,-70.24413793103449
0.27867943,-13.058275862068966,-70.21241379310345
0.791738,-13.058275862068966,-70.18068965517242
0.25887176,-13.058275862068966,-70.14896551724138
0.14451502,-13.058275862068966,-70.11724137931034
0.1147828,-13.058275862068966,-70.0855172413793
0.120940216,-13.058275862068966,-70.05379310344827
0.11005303,-13.058275862068966,-70.02206896551724
0.112708,-13.058275862068966,-69.9903448275862
0.11879063,-13.058275862068966,-69.95862068965516
0.12954018,-13.058275862068966,-69.92689655172414
0.12344702,-13.058275862068966,-69.8951724137931
0.08490942,-13.058275862068966,-69.86344827586207
0.12112625,-13.058275862068966,-69.83172413793103
0.11523582,-13.058275862068966,-69.8
0.13284743,-13.046551724137931,-70.72
0.13136695,-13.046551724137931,-70.68827586206896
0.121328175,-13.046551724137931,-70.65655172413793
0.11875332,-13.046551724137931,-70.62482758620689
0.13213524,-13.046551724137931,-70.59310344827585
0.9210932,-13.046551724137931,-70.56137931034483
0.85184133,-13.046551724137931,-70.5296551724138
0.8911867,-13.046551724137931,-70.49793103448276
0.5036644,-13.046551724137931,-70.46620689655172
0.5090151,-13.046551724137931,-70.43448275862069
0.76344115,-13.046551724137931,-70.40275862068965
0.11853135,-13.046551724137931,-70.37103448275862
0.166668,-13.046551724137931,-70.33931034482758
0.14855143,-13.046551724137931,-70.30758620689654
0.12986578,-13.046551724137931,-70.27586206896551
0.13308717,-13.046551724137931,-70.24413793103449
0.12488494,-13.046551724137931,-70.21241379310345
0.23951967,-13.046551724137931,-70.18068965517242
0.16519275,-13.046551724137931,-70.14896551724138
0.11943639,-13.046551724137931,-70.11724137931034
0.12675652,-13.046551724137931,-70.0855172413793
0.109818436,-13.046551724137931,-70.05379310344827
0.11703367,-13.046551724137931,-70.02206896551724
0.11261716,-13.046551724137931,-69.9903448275862
0.11654909,-13.046551724137931,-69.95862068965516
0.42570478,-13.046551724137931,-69.92689655172414
0.11518604,-13.046551724137931,-69.8951724137931
0.3967834,-13.046551724137931,-69.86344827586207
0.13352434,-13.046551724137931,-69.83172413793103
0.11661966,-13.046551724137931,-69.8
0.22010113,-13.034827586206896,-70.72
0.13286604,-13.034827586206896,-70.68827586206896
0.32856497,-13.034827586206896,-70.65655172413793
0.13814546,-13.034827586206896,-70.62482758620689
0.37225178,-13.034827586206896,-70.59310344827585
0.85497606,-13.034827586206896,-70.56137931034483
0.5754814,-13.034827586206896,-70.5296551724138
0.58910793,-13.034827586206896,-70.49793103448276
0.8239123,-13.034827586206896,-70.46620689655172
0.12153109,-13.034827586206896,-70.43448275862069
0.117344566,-13.034827586206896,-70.40275862068965
0.6186733,-13.034827586206896,-70.37103448275862
0.23735403,-13.034827586206896,-70.33931034482758
0.120773934,-13.034827586206896,-70.30758620689654
0.16426453,-13.034827586206896,-70.27586206896551
0.13140841,-13.034827586206896,-70.24413793103449
0.1237412,-13.034827586206896,-70.21241379310345
